date,PowerConsumed
2019-01-01,5.274764790000023
2019-01-02,3.800962050000007
2019-01-03,3.6071830100000013
2019-01-04,4.7162359999999905
2019-01-05,2.8324762100000282
2019-01-06,3.5676729900000375
2019-01-07,4.507126109999994
2019-01-08,3.3122258100000277
2019-01-09,5.12457187000002
2019-01-10,3.4562554800000322
2019-01-11,3.3385616099999833
2019-01-12,4.523286079999993
2019-01-13,3.9812711700000376
2019-01-14,3.347280660000026
2019-01-15,5.825427690000015
2019-01-16,5.448261700000022
2019-01-17,3.3515537899999974
2019-01-18,3.9510364299999963
2019-01-19,4.054848179999997
2019-01-20,3.677334720000003
2019-01-21,3.470043489999987
2019-01-22,5.657392950000001
2019-01-23,4.815379450000023
2019-01-24,5.328112910000017
2019-01-25,2.1755447600000055
2019-01-26,2.5472141100000014
2019-01-27,3.609913940000011
2019-01-28,4.3926872600000015
2019-01-29,5.433662990000011
2019-01-30,4.216338219999987
2019-01-31,2.735785949999997
2019-02-01,3.945907399999988
2019-02-02,3.284119000000017
2019-02-03,3.122413960000027
2019-02-04,3.4717750399999825
2019-02-05,2.6340521199999962
2019-02-06,4.467670259999992
2019-02-07,3.6752299700000304
2019-02-08,6.883095189999983
2019-02-09,2.5909061499999972
2019-02-10,3.0267296200000224
2019-02-11,3.067219209999998
2019-02-12,4.002131349999982
2019-02-13,5.141428780000005
2019-02-14,5.082766450000015
2019-02-15,5.002537809999971
2019-02-16,1.8394288399999947
2019-02-17,4.174339300000025
2019-02-18,3.643274130000033
2019-02-19,3.675194680000011
2019-02-20,6.216460020000036
2019-02-21,2.1434114999999996
2019-02-22,4.400102659999971
2019-02-23,3.9126094500000086
2019-02-24,3.2043172300000196
2019-02-25,2.8541017700000246
2019-02-26,2.5810240299999982
2019-02-27,4.005254470000015
2019-02-28,2.3350552300000103
2019-03-01,7.010001429999977
2019-03-02,3.0037209300000116
2019-03-03,4.4455422499999875
2019-03-04,4.290720590000032
2019-03-05,2.76545432000003
2019-03-06,5.115951659999971
2019-03-07,2.074445680000013
2019-03-08,4.6119951400000305
2019-03-09,2.466611149999998
2019-03-10,3.3764820000000064
2019-03-11,3.762462490000003
2019-03-12,3.990579390000012
2019-03-13,4.433907020000034
2019-03-14,3.876271889999993
2019-03-15,4.453155779999989
2019-03-16,3.2295474500000005
2019-03-17,3.117602009999995
2019-03-18,3.88213956999999
2019-03-19,3.7438551500000097
2019-03-20,4.890627679999998
2019-03-21,2.2379996399999964
2019-03-22,3.4988294600000263
2019-03-23,3.3791359299999857
2019-03-24,3.258278389999997
2019-03-25,3.4658595799999814
2019-03-26,4.070309920000019
2019-03-27,3.057018099999987
2019-03-28,4.104270710000006
2019-03-29,3.856985550000015
2019-03-30,2.9657904900000176
2019-03-31,4.9587812699999985
2019-04-01,2.5047444999999957
2019-04-02,4.94366510000002
2019-04-03,3.3184381200000086
2019-04-04,2.5915622900000006
2019-04-05,2.98737458000002
2019-04-06,4.935510950000006
2019-04-07,2.428277519999998
2019-04-08,3.0806353499999983
2019-04-09,3.8103318899999863
2019-04-10,4.6094954799999694
2019-04-11,3.217102120000003
2019-04-12,3.1284368800000175
2019-04-13,2.859061840000006
2019-04-14,4.69127531000002
2019-04-15,2.85502590000004
2019-04-16,4.974416029999985
2019-04-17,3.1371081400000005
2019-04-18,5.227673359999995
2019-04-19,2.996213589999997
2019-04-20,2.1001521900000033
2019-04-21,2.807104719999997
2019-04-22,3.0517522299999853
2019-04-23,4.430535780000027
2019-04-24,2.800424209999993
2019-04-25,4.239931999999984
2019-04-26,3.5970122000000124
2019-04-27,4.2406269899999804
2019-04-28,3.418427920000019
2019-04-29,3.728514940000003
2019-04-30,1.8907363600000027
2019-05-01,1.8218668199999966
2019-05-02,3.0824985100000233
2019-05-03,3.7096291999999904
2019-05-04,5.236064370000023
2019-05-05,1.9865250300000088
2019-05-06,2.4162713600000165
2019-05-07,3.2959359500000223
2019-05-08,3.9814442399999983
2019-05-09,3.3926197599999997
2019-05-10,2.038368000000011
2019-05-11,2.6602060300000003
2019-05-12,2.677588200000019
2019-05-13,3.4067685400000216
2019-05-14,2.2916786500000073
2019-05-15,2.841921710000025
2019-05-16,3.780492149999988
2019-05-17,3.355044130000017
2019-05-18,3.040359230000032
2019-05-19,4.2004539299999815
2019-05-20,3.32047281999999
2019-05-21,3.200331089999986
2019-05-22,2.605125660000001
2019-05-23,2.695197920000017
2019-05-24,3.4022684999999786
2019-05-25,4.11799793999998
2019-05-26,1.3984455600000003
2019-05-27,4.480223569999991
2019-05-28,3.7266602100000306
2019-05-29,3.0151332200000245
2019-05-30,5.445513210000019
2019-05-31,2.227499190000002
2019-06-01,1.82406930000001
2019-06-02,3.1722350399999963
2019-06-03,2.8695437700000235
2019-06-04,3.3096570400000216
2019-06-05,3.442578539999992
2019-06-06,2.447383480000014
2019-06-07,2.6318252800000193
2019-06-08,2.7481956000000105
2019-06-09,2.975064420000008
2019-06-10,5.532340319999962
2019-06-11,2.158790060000004
2019-06-12,2.071810749999993
2019-06-13,4.8761782300000105
2019-06-14,2.5518535200000185
2019-06-15,1.755689490000001
2019-06-16,1.9082346500000034
2019-06-17,2.6481932100000143
2019-06-18,4.294780069999996
2019-06-19,3.908389490000005
2019-06-20,4.884521400000015
2019-06-21,2.162481980000014
2019-06-22,3.855246399999998
2019-06-23,2.4362455100000076
2019-06-24,2.3025170900000105
2019-06-25,6.145714769999973
2019-06-26,1.755148649999985
2019-06-27,2.5609999800000036
2019-06-28,3.0449557299999985
2019-06-29,2.6006435699999964
2019-06-30,1.8912209600000083
2019-07-01,2.0416196200000183
2019-07-02,1.6581892900000086
2019-07-03,3.299761269999993
2019-07-04,5.642619969999993
2019-07-05,1.95345549
2019-07-06,3.5805204300000253
2019-07-07,3.1180764700000156
2019-07-08,2.73860736000001
2019-07-09,2.5782908400000024
2019-07-10,3.5326971400000193
2019-07-11,2.322736879999993
2019-07-12,6.188284030000041
2019-07-13,2.680953299999991
2019-07-14,2.678661599999982
2019-07-15,3.4422975099999604
2019-07-16,2.5636004699999972
2019-07-17,4.511990250000017
2019-07-18,2.8250400800000146
2019-07-19,2.7433019200000377
2019-07-20,4.363114549999993
2019-07-21,2.7241109500000165
2019-07-22,2.8399314799999997
2019-07-23,2.365236830000005
2019-07-24,2.61627651
2019-07-25,2.4028194600000123
2019-07-26,4.244855390000001
2019-07-27,2.8387045000000053
2019-07-28,5.1698910900000055
2019-07-29,3.029883460000006
2019-07-30,1.9222716600000047
2019-07-31,2.2128125099999982
2019-08-01,5.452347760000021
2019-08-02,2.5527956200000177
2019-08-03,2.1612446100000042
2019-08-04,3.4179293700000066
2019-08-05,3.8015774100000073
2019-08-06,4.071456730000014
2019-08-07,3.5319171000000216
2019-08-08,2.565659440000011
2019-08-09,4.202635209999979
2019-08-10,2.4497064600000154
2019-08-11,2.8601418299999875
2019-08-12,2.565976389999997
2019-08-13,4.29635749
2019-08-14,2.6618694199999857
2019-08-15,5.19818202999995
2019-08-16,3.5574253899999992
2019-08-17,2.417706659999997
2019-08-18,2.453543430000004
2019-08-19,3.438293899999974
2019-08-20,4.406855930000019
2019-08-21,3.517669500000017
2019-08-22,4.6495909199999685
2019-08-23,1.9243680200000055
2019-08-24,2.213689960000006
2019-08-25,3.0583668000000217
2019-08-26,3.537474110000013
2019-08-27,2.606465460000004
2019-08-28,3.207610320000004
2019-08-29,1.7540992099999984
2019-08-30,2.8552628600000207
2019-08-31,3.6063870899999784
2019-09-01,6.558490670000018
2019-09-02,3.935727619999997
2019-09-03,2.844312820000042
2019-09-04,4.301820590000011
