date,PowerConsumed,Produced
2019-01-01,2.570185489999986,0.5634315400000002
2019-01-02,4.160760260000027,0.45712193
2019-01-03,3.4406737100000195,0.6034457199999999
2019-01-04,2.8431442600000003,0.12814535999999993
2019-01-05,2.966136890000027,0.3958007499999997
2019-01-06,3.087272330000012,2.1583580899999997
2019-01-07,4.780393400000038,0.3437805999999999
2019-01-08,3.5877115500000167,1.0514961499999977
2019-01-09,3.2758406600000005,1.606211
2019-01-10,2.6842000699999953,2.879287560000001
2019-01-11,2.912793539999986,1.40676696
2019-01-12,4.276425840000009,2.4599248599999997
2019-01-13,3.8668765800000333,1.2921856199999993
2019-01-14,3.614236060000012,2.4729291100000017
2019-01-15,3.376864600000011,3.0153110499999984
2019-01-16,3.3348138000000085,3.1502090999999983
2019-01-17,3.9450182899999957,0.16125813999999988
2019-01-18,3.7686644499999944,0.8311857000000008
2019-01-19,2.0683409799999923,0.941998360000002
2019-01-20,3.2827001600000303,0.3237183000000002
2019-01-21,3.8650967200000195,1.0950021899999993
2019-01-22,3.1844680000000194,2.1146943
2019-01-23,3.2262748800000116,1.6111253999999995
2019-01-24,2.8246760400000013,1.6814486099999997
2019-01-25,2.865801339999998,2.4044661
2019-01-26,2.8605777499999987,2.22775538
2019-01-27,2.931575080000004,0.35574670999999997
2019-01-28,3.391103410000014,0.2702700599999999
2019-01-29,3.9420971900000024,0.6350068999999995
2019-01-30,3.433955230000021,0.3199044800000004
2019-01-31,3.2018756200000245,0.28304614999999994
2019-02-01,3.4940056200000176,0.7554410199999999
2019-02-02,3.065344280000029,0.3631692099999995
2019-02-03,3.364862440000033,1.1933824000000006
2019-02-04,3.6154814700000366,1.3575580900000004
2019-02-05,3.0650722800000083,3.218860059999999
2019-02-06,3.6072032200000037,3.5118818
2019-02-07,4.536270850000019,4.1784122900000025
2019-02-08,2.967950100000002,4.304121350000004
2019-02-09,2.8344595299999873,1.2126678700000004
2019-02-10,2.7012220699999894,0.2243959600000001
2019-02-11,2.6689388600000115,1.6412795500000015
2019-02-12,3.464794240000033,0.3294113099999999
2019-02-13,3.303007430000018,1.8379264500000003
2019-02-14,3.1492609700000207,1.1306145099999996
2019-02-15,2.513751929999989,0.7528424899999995
2019-02-16,2.040036059999985,1.2165836700000003
2019-02-17,3.476836830000003,0.6456181100000004
2019-02-18,3.2219878299999674,0.34373598
2019-02-19,3.392236550000013,2.0202377499999997
2019-02-20,5.059965310000034,2.5288894699999993
2019-02-21,3.7850587699999987,1.2305300599999995
2019-02-22,3.502204750000015,1.458686579999999
